mean_sentiment,us_state,date,politician,ticket
0.28616667,Ohio,2020-10-02,kamalaharris,Democrat
0.032332,Texas,2020-10-02,joebiden,Democrat
-0.062350005,Alabama,2020-10-02,kamalaharris,Democrat
-0.2486,Puerto Rico,2020-10-02,mikepence,Republican
0.078875,other,2020-10-02,kamalaharris,Democrat
0.2263,Tennessee,2020-10-02,donaldtrump,Republican
-0.25483334,South Carolina,2020-10-02,kamalaharris,Democrat
0.0,Delaware,2020-10-02,joebiden,Democrat
0.17926666,Michigan,2020-10-02,joebiden,Democrat
-0.28703335,Kentucky,2020-10-02,joebiden,Democrat
-0.051266667,Kentucky,2020-10-02,donaldtrump,Republican
0.1617,Massachusetts,2020-10-02,mikepence,Republican
0.6588,Hawaii,2020-10-02,kamalaharris,Democrat
-0.18353333,Nevada,2020-10-02,kamalaharris,Democrat
0.04278,Washington,2020-10-02,donaldtrump,Republican
0.30497,Ohio,2020-10-02,joebiden,Democrat
-0.61705,Nebraska,2020-10-02,joebiden,Democrat
-0.010800004,New Jersey,2020-10-02,kamalaharris,Democrat
0.2807,Michigan,2020-10-02,mikepence,Republican
0.2263,Oklahoma,2020-10-02,kamalaharris,Democrat
0.5681,Oklahoma,2020-10-02,mikepence,Republican
-0.45818752,Louisiana,2020-10-02,joebiden,Democrat
-0.4939,Washington,2020-10-02,mikepence,Republican
0.61465,Louisiana,2020-10-02,mikepence,Republican
-0.065019995,Texas,2020-10-02,mikepence,Republican
0.2640639,Kansas,2020-10-02,mikepence,Republican
0.04872,Wisconsin,2020-10-02,kamalaharris,Democrat
0.14473332,New York,2020-10-02,donaldtrump,Republican
-0.056050003,Mississippi,2020-10-02,mikepence,Republican
-0.024790477,other,2020-10-02,mikepence,Republican
-0.0386,Wisconsin,2020-10-02,donaldtrump,Republican
-0.039350003,Maryland,2020-10-02,kamalaharris,Democrat
-0.28396666,Washington,2020-10-02,kamalaharris,Democrat
0.08476667,Nevada,2020-10-02,joebiden,Democrat
-0.123950005,Oklahoma,2020-10-02,joebiden,Democrat
0.55385,New Jersey,2020-10-02,donaldtrump,Republican
-0.14072,Virginia,2020-10-02,mikepence,Republican
0.5267,Alaska,2020-10-02,kamalaharris,Democrat
0.010874998,Indiana,2020-10-02,mikepence,Republican
-0.23711428,Virginia,2020-10-02,joebiden,Democrat
-0.09832501,North Carolina,2020-10-02,mikepence,Republican
-0.04591,California,2020-10-02,kamalaharris,Democrat
0.0284,New Hampshire,2020-10-02,mikepence,Republican
0.4939,Arkansas,2020-10-02,joebiden,Democrat
0.017639996,Arizona,2020-10-02,donaldtrump,Republican
0.8604,Nevada,2020-10-02,donaldtrump,Republican
-0.13338333,Massachusetts,2020-10-02,donaldtrump,Republican
-0.063833326,Indiana,2020-10-02,kamalaharris,Democrat
0.10115,Wisconsin,2020-10-02,mikepence,Republican
0.3818,Alaska,2020-10-02,donaldtrump,Republican
-0.16261053,Texas,2020-10-02,kamalaharris,Democrat
-0.6908,Montana,2020-10-02,joebiden,Democrat
0.1429111,Michigan,2020-10-02,kamalaharris,Democrat
-0.5073,West Virginia,2020-10-02,mikepence,Republican
-0.18141364,Florida,2020-10-02,joebiden,Democrat
0.6486,Arkansas,2020-10-02,kamalaharris,Democrat
0.23590001,Maryland,2020-10-02,joebiden,Democrat
-0.8074,Utah,2020-10-02,donaldtrump,Republican
-0.5719,Iowa,2020-10-02,kamalaharris,Democrat
-0.09534545,Pennsylvania,2020-10-02,kamalaharris,Democrat
0.3406,Alabama,2020-10-02,donaldtrump,Republican
-0.0516,Tennessee,2020-10-02,kamalaharris,Democrat
-0.0021250024,Missouri,2020-10-02,joebiden,Democrat
0.2263,New Hampshire,2020-10-02,kamalaharris,Democrat
